rank,sensor,mean_abs_shap,"corr(값,SHAP)",direction,(가정)공정단계,(가정)물리량,관리 조치 제안
1,sensor_519,0.01761,0.503,값↑ → 불량↑,Etch(식각),챔버 압력,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
2,sensor_095,0.01678,0.738,값↑ → 불량↑,Deposition(증착),히터 온도,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
3,sensor_511,0.01568,0.845,값↑ → 불량↑,Etch(식각),RF 파워,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
4,sensor_247,0.01423,0.52,값↑ → 불량↑,CMP(연마),슬러리 유량,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
5,sensor_059,0.01416,0.817,값↑ → 불량↑,Photo(노광),노광 시간,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
6,sensor_345,0.01307,0.385,값↑ → 불량↑,Deposition(증착),가스 유량,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
7,sensor_033,0.01154,0.249,값↑ → 불량↑,Diffusion(확산),퍼니스 온도,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
8,sensor_385,0.01049,0.486,값↑ → 불량↑,Implant(이온주입),빔 전류,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
9,sensor_103,0.01007,0.808,값↑ → 불량↑,Cleaning(세정),약액 농도,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
10,sensor_031,0.01006,-0.797,값↑ → 불량↓,Photo(노광),포커스,하한 관리 강화 (값이 낮을 때 위험) → SPC 하한선·이상감지
11,sensor_486,0.00991,0.673,값↑ → 불량↑,CMP(연마),패드 압력,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
12,sensor_205,0.00829,0.481,값↑ → 불량↑,Metrology(계측),막두께,상한 관리 강화 (값이 높을 때 위험) → SPC 상한선·이상감지
